epoch,MAE,Pitch,Yaw
001,14.043,11.327,7.796
002,13.955,11.438,7.501
003,12.900,10.234,7.402
004,12.931,10.166,7.851
005,12.906,10.223,7.553
006,12.434,9.565,7.528
007,12.290,9.674,7.345
008,13.445,10.178,8.240
009,12.630,10.244,7.492
010,11.978,8.928,7.544
011,12.499,9.309,7.868
012,12.358,9.480,7.606
013,11.877,8.986,7.365
014,12.171,9.210,7.550
015,12.328,9.146,7.880
016,11.890,8.834,7.515
017,11.949,9.187,7.350
018,12.150,9.440,7.468
019,12.295,8.740,7.993
020,12.381,8.973,7.927
021,11.898,8.999,7.425
022,12.247,9.059,7.753
023,11.919,8.603,7.724
024,12.032,8.935,7.587
025,11.810,8.701,7.447
026,11.912,8.869,7.518
027,11.631,8.567,7.400
028,11.769,8.628,7.533
029,11.545,8.495,7.333
030,11.581,8.451,7.406
031,12.812,9.547,8.199
032,11.981,8.587,7.766
033,11.837,8.631,7.618
034,11.748,8.623,7.475
035,11.535,8.591,7.215
036,11.626,8.487,7.451
037,11.714,8.466,7.505
038,11.418,8.328,7.298
039,11.857,8.505,7.728
040,11.503,8.434,7.308
041,11.694,8.541,7.457
042,11.693,8.524,7.468
043,11.454,8.405,7.281
044,11.628,8.345,7.507
045,11.531,8.391,7.385
046,11.526,8.409,7.340
047,11.522,8.458,7.320
048,11.452,8.379,7.291
049,11.526,8.363,7.420
050,11.522,8.299,7.452
051,11.555,8.338,7.463
052,11.332,8.357,7.136
053,11.524,8.410,7.324
054,11.533,8.317,7.446
055,11.474,8.416,7.327
056,11.478,8.290,7.383
057,11.314,8.212,7.223
058,11.447,8.286,7.345
059,11.571,8.344,7.452
060,11.404,8.341,7.299
061,11.432,8.283,7.298
062,11.392,8.301,7.261
063,11.510,8.399,7.330
064,11.483,8.243,7.424
065,11.417,8.307,7.305
066,11.466,8.387,7.257
067,11.403,8.312,7.280
068,11.297,8.214,7.235
069,11.492,8.475,7.224
070,11.364,8.274,7.254
071,11.498,8.260,7.424
072,11.319,8.175,7.265
073,11.236,8.154,7.218
074,11.480,8.351,7.308
075,11.441,8.257,7.337
076,11.434,8.242,7.340
077,11.375,8.294,7.235
078,11.332,8.237,7.211
079,11.393,8.224,7.362
080,11.251,8.101,7.265
081,11.333,8.281,7.223
082,11.432,8.348,7.231
083,11.154,8.175,7.079
084,11.376,8.327,7.251
085,11.346,8.351,7.161
086,11.242,8.223,7.139
087,11.370,8.321,7.196
088,11.266,8.125,7.231
089,11.470,8.287,7.345
090,11.454,8.303,7.317
091,11.550,8.546,7.298
092,11.347,8.303,7.229
093,11.301,8.204,7.225
094,11.415,8.338,7.233
095,11.442,8.360,7.318
096,11.526,8.420,7.321
097,11.394,8.302,7.283
098,11.353,8.326,7.200
099,11.908,8.769,7.478
100,11.726,8.792,7.311
101,11.439,8.390,7.247
102,11.374,8.359,7.223
103,11.536,8.388,7.373
104,12.157,9.098,7.547
105,11.487,8.337,7.340
106,11.327,8.175,7.291
107,11.361,8.236,7.273
108,11.348,8.370,7.145
109,11.411,8.352,7.289
110,11.259,8.197,7.211
111,11.419,8.283,7.307
112,11.296,8.262,7.219
113,11.173,8.158,7.104
114,11.330,8.211,7.296
115,11.325,8.358,7.133
116,11.481,8.427,7.304
117,11.375,8.269,7.261
118,11.273,8.226,7.194
119,11.231,8.167,7.164
120,11.408,8.208,7.346
